Cluster,Name,Code
3,엔젯,419080
1,티앤알바이오팹,246710
0,마음AI,377480
1,애니플러스,310200
2,아이씨디,040910
6,금화피에스시,036190
0,지어소프트,051160
3,라파스,214260
0,아진산업,013310
5,삼기이브이,419050
6,제이씨케미칼,137950
0,제이스텍,090470
2,리드코프,012700
3,아이텍,119830
2,범한퓨얼셀,382900
4,싸이맥스,160980
2,보성파워텍,006910
4,동양이엔피,079960
6,리파인,377450
5,엔피,291230
2,켄코아에어로스페이스,274090
1,디케이티,290550
5,고바이오랩,348150
3,지투파워,388050
2,LB루셈,376190
1,켐트로스,220260
5,자람테크놀로지,389020
0,모베이스전자,012860
6,홈센타홀딩스,060560
2,동구바이오제약,006620
4,세종텔레콤,036630
2,슈프리마,236200
0,이스트소프트,047560
4,KNN,058400
1,키이스트,054780
6,엔지켐생명과학,183490
5,금양그린파워,282720
3,다산네트웍스,039560
2,현대바이오랜드,052260
3,엑셈,205100
1,대원미디어,048910
5,HLB파나진,046210
3,플리토,300080
5,이오플로우,294090
5,오리콤,010470
0,인성정보,033230
3,수젠텍,253840
0,지오엘리먼트,311320
2,풍국주정,023900
1,에브리봇,270660
3,나인테크,267320
2,화일약품,061250
3,플래스크,041590
0,엠플러스,259630
1,서울바이오시스,092190
3,동신건설,025950
1,청담글로벌,362320
0,위더스제약,330350
6,삼지전자,037460
4,에이티넘인베스트,021080
3,MDS테크,086960
2,현대이지웰,090850
4,대성창투,027830
3,꿈비,407400
3,덴티스,261200
0,차백신연구소,261780
1,CJ 바이오사이언스,311690
1,인크로스,216050
0,케이엔제이,272110
2,디에스케이,109740
0,엔비티,236810
2,코렌텍,104540
3,이루다,164060
6,특수건설,026150
2,테라젠이텍스,066700
0,핑거,163730
1,미스터블루,207760
1,맥스트,377030
4,오리엔탈정공,014940
1,오이솔루션,138080
1,풍원정밀,371950
2,남화산업,111710
5,안트로젠,065660
1,스튜디오미르,408900
1,제로투세븐,159580
6,아가방컴퍼니,013990
2,아스플로,159010
2,케이엔더블유,105330
2,와이엔텍,067900
0,디티앤씨알오,383930
2,레드캡투어,038390
6,인피니트헬스케어,071200
1,서플러스글로벌,140070
2,태웅로직스,124560
2,엠투아이,347890
0,덕우전자,263600
1,에이스토리,241840
5,우리바이오,082850
6,한국경제TV,039340
6,우주일렉트로,065680
6,대한뉴팜,054670
2,제노코,361390
2,SBI인베스트먼트,019550
1,뉴프렉스,085670
5,티사이언티픽,057680
2,휴맥스,115160
2,브랜드엑스코퍼레이션,337930
1,NEW,160550
6,세운메디칼,100700
2,웹케시,053580
2,동아화성,041930
3,아모센스,357580
4,아이티센,124500
1,큐라클,365270
1,유일에너테크,340930
2,엠게임,058630
0,바이오솔루션,086820
0,코스맥스엔비티,222040
4,삼보모터스,053700
2,알에프텍,061040
2,케이프,064820
6,우리산업,215360
5,오비고,352910
5,이지케어텍,099750
4,엑시콘,092870
2,아이에이,038880
3,나우IB,293580
0,이랜시스,264850
6,일월지엠엘,178780
0,흥구석유,024060
6,제이엔케이히터,126880
3,하인크코리아,373200
2,비엠티,086670
1,타이거일렉,219130
2,오션브릿지,241790
3,라이온켐텍,171120
5,선바이오,067370
3,하이로닉,149980
1,지아이텍,382480
0,엘티씨,170920
6,한라IMS,092460
1,에이비온,203400
2,녹십자웰빙,234690
2,오성첨단소재,052420
1,빅텍,065450
2,예스24,053280
2,이지바이오,353810
3,레몬,294140
2,아이디스홀딩스,054800
4,유비벨록스,089850
1,케이피에스,256940
2,SBS콘텐츠허브,046140
6,씨앤지하이테크,264660
6,대원산업,005710
2,KCC건설,021320
6,라온테크,232680
5,와이팜,332570
3,알에스오토메이션,140670
1,아모텍,052710
6,정상제이엘에스,040420
0,솔본,035610
5,코리아나,027050
6,매일홀딩스,005990
3,제이아이테크,417500
3,텔콘RF제약,200230
3,중앙백신,072020
6,대양전기공업,108380
0,케이에스피,073010
0,인벤티지랩,389470
6,씨티케이,260930
1,알비더블유,361570
4,제일전기공업,199820
2,현대에버다임,041440
3,엘컴텍,037950
1,푸드나무,290720
1,엔브이에이치코리아,067570
1,이노메트리,302430
3,희림,037440
4,3S,060310
6,서원인텍,093920
0,마이크로디지탈,305090
0,지니언스,263860
6,영화테크,265560
2,노랑풍선,104620
3,테고사이언스,191420
3,에이팩트,200470
5,코닉오토메이션,391710
2,인화정공,101930
3,대봉엘에스,078140
0,유아이엘,049520
3,야스,255440
2,와이엠씨,155650
2,엔시스,333620
6,SBI핀테크솔루션즈,950110
5,광무,029480
1,팬엔터테인먼트,068050
2,우리손에프앤지,073560
2,안국약품,001540
2,에스퓨얼셀,288620
2,국보디자인,066620
