Ticker,Code,회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역,Theme,Name
아이엠,101390,아이엠,101390,전자부품 제조업,휴대폰카메라모듈 등,2008-07-23,12월,김태동,http://www.im2006.com,경기도,증강현실(AR),아이엠
슈프리마에이치큐,094840,슈프리마에이치큐,094840,통신 및 방송 장비 제조업,지문인식솔루션및시스템,2008-07-11,12월,이재원,,경기도,보안주(물리),슈프리마에이치큐
이스트소프트,047560,이스트소프트,047560,소프트웨어 개발 및 공급업,"온라인게임(카발온라인),알툴즈S/W,스토리지S/W",2008-07-01,12월,정상원,,서울특별시,4차산업 수혜주,이스트소프트
로보스타,090360,로보스타,090360,특수 목적용 기계 제조업,"제조용 로봇, FPD 장비, IT부품 제조장비",2011-10-17,12월,이병서,http://robostar.co.kr,경기도,지능형로봇/인공지능(AI),로보스타
브리지텍,064480,브리지텍,064480,소프트웨어 개발 및 공급업,"컨택센터솔루션,BcN솔루션,ASP서비스사업",2008-06-04,12월,신경식,http://www.bridgetec.co.kr,서울특별시,음성인식,브리지텍
메타바이오메드,059210,메타바이오메드,059210,의료용품 및 기타 의약 관련제품 제조업,"생체분해성봉합사,근관충전재",2008-04-15,12월,오석송,http://wwwlmeta-biomed.com,충청북도,고령화 사회(노인복지),메타바이오메드
SNT에너지,100840,SNT에너지,100840,일반 목적용 기계 제조업,"공냉식 열교환장치,폐열회수장치 제조",2008-02-22,12월,김형섭,http://www.hisnt.com,경상남도,네옴시티,SNT에너지
대창솔루션,096350,대창솔루션,096350,"구조용 금속제품, 탱크 및 증기발생기 제조업",내연기관구조재(선박엔진용MBS),2007-12-17,12월,김대성,,부산광역시,북한 광물자원개발,대창솔루션
디엔에프,092070,디엔에프,092070,기타 화학제품 제조업,반도체배선박막재료(알루미늄전구체),2007-11-16,12월,김명운,http://www.dnfsolution.com,대전광역시,반도체 재료/부품,디엔에프
케이알엠,093640,케이알엠,093640,반도체 제조업,멀티미디어반도체,2007-10-19,12월,박광식,http://www.tamulm.com,서울특별시,시스템반도체,케이알엠
디아이씨,092200,디아이씨,092200,자동차 신품 부품 제조업,"자동차부품(트란스밋숀,프런트액슬,기어,전동축),변속동력전달장치,특수공구,농기계 및 산업기계부품 제조,무역",2007-10-18,12월,김정렬,http://dicorp.co.kr,울산광역시,로봇(산업용/협동로봇 등),디아이씨
푸른기술,094940,푸른기술,094940,컴퓨터 및 주변장치 제조업,"금융자동화기기모듈,역무자동화기기모듈,특수단말시스템",2007-09-14,12월,함현철,http://www.puloon.co.kr,서울특별시,화폐/금융자동화기기(디지털화폐 등),푸른기술
앤씨앤,092600,앤씨앤,092600,반도체 제조업,차량용 블랙박스 / 영상처리용 시스템반도체,2007-06-26,12월,최종현,http://nc-and.com,경기도,차량용블랙박스,앤씨앤
알루코,001780,알루코,001780,1차 비철금속 제조업,"알루미늄제품,샷시 제조",2007-06-07,12월,박진우,http://www.dygc.co.kr,대전광역시,철도,알루코
에이블씨엔씨,078520,에이블씨엔씨,078520,기타 화학제품 제조업,"화장품 제조,도소매/소프트웨어 자문,개발,공급/전자상거래",2011-09-07,12월,신유정,http://www.able-cnc.com,서울특별시,화장품,에이블씨엔씨
상신이디피,091580,상신이디피,091580,일차전지 및 축전지 제조업,2차전지부품,2007-05-23,12월,김일부,http://www.ssedp.co.kr,충청남도,휴대폰부품,상신이디피
이엠텍,091120,이엠텍,091120,전자부품 제조업,"마이크로스피커,리시버",2007-05-02,12월,"정승규, 이석근",http://www.em-tech.co.kr,경상남도,스마트폰,이엠텍
매커스,093520,매커스,093520,기계장비 및 관련 물품 도매업,자일링스(Xilinx)비메모리반도체(PLDchip)유통,2007-02-12,12월,"신동철, 성종률",http://www.makus.co.kr,서울특별시,드론(Drone),매커스
켐트로닉스,089010,켐트로닉스,089010,기타 화학제품 제조업,"Touch IC 및 PBA, TG, EMC",2007-01-17,12월,"김보균, 김응수",http://www.chemtronics.co.kr,세종특별자치시,자율주행차,켐트로닉스
제이스텍,090470,제이스텍,090470,특수 목적용 기계 제조업,기계장비(디스플레이장비),2007-01-10,12월,정재송,http://www.astjetec.co.kr,충청남도,LCD장비,제이스텍
후성,093370,후성,093370,기초 화학물질 제조업,"불소화물 제조,도매",2006-12-22,12월,허국,http://www.foosungchem.com,경기도,2차전지,후성
코세스,089890,코세스,089890,특수 목적용 기계 제조업,반도체SolderBall부착장비등,2006-11-08,12월,박명순,http://www.koses.co.kr,경기도,메타버스(Metaverse),코세스
제이티,089790,제이티,089790,특수 목적용 기계 제조업,반도체장비(Burn-in Sorter 등),2006-10-27,12월,유홍준,http://www.jtcorp.co.kr,충청남도,반도체 장비,제이티
루멘스,038060,루멘스,038060,반도체 제조업,LED개발 및 제조,2006-08-08,12월,이경재,http://www.lumens.co.kr,경기도,마이크로 LED,루멘스
인포뱅크,039290,인포뱅크,039290,기타 정보 서비스업,"모바일메시징서비스,휴대폰단말기용S/W개발용역",2006-07-04,12월,박태형,http://www.infobank.net,경기도,전자결제(전자화폐),인포뱅크
나노신소재,121600,나노신소재,121600,기타 화학제품 제조업,"인듐계 산화물 TCO Target, 반도체 CMP Slurry 등",2011-02-09,12월,박장우,http://anapro.com,세종특별자치시,OLED(유기 발광 다이오드),나노신소재
셀트리온제약,068760,셀트리온제약,068760,의약품 제조업,고덱스 캡슐 외,2006-02-03,12월,서정수,http://www.celltrionph.com,충청북도,바이오시밀러(복제 바이오의약품),셀트리온제약
제우스,079370,제우스,079370,특수 목적용 기계 제조업,LCD제조용장비,2006-02-01,12월,이종우,http://www.globalzeus.com,경기도,로봇(산업용/협동로봇 등),제우스
유진테크,084370,유진테크,084370,특수 목적용 기계 제조업,실리콘질화막증착용LP-CVD,2006-01-17,12월,"엄평용, 신승우 (각자 대표이사)",http://www.eugenetech.co.kr,경기도,반도체 장비,유진테크
