,Theme,Name,Code
400,스마트카(SMART CAR),DB하이텍,990
402,스마트카(SMART CAR),엠씨넥스,97520
403,스마트카(SMART CAR),현대모비스,12330
404,스마트카(SMART CAR),HL만도,204320
405,차량용블랙박스,THE MIDONG,161570
406,차량용블랙박스,시너지이노베이션,48870
408,차량용블랙박스,앤씨앤,92600
409,차량용블랙박스,파인디지털,38950
412,차량용블랙박스,백금T&A,46310
416,마리화나(대마),우리바이오,82850
417,마리화나(대마),오성첨단소재,52420
418,마리화나(대마),세토피아,222810
419,마리화나(대마),엔에프씨,265740
420,마리화나(대마),HLB바이오스텝,278650
421,마리화나(대마),한국비엔씨,256840
422,마리화나(대마),화일약품,61250
423,마리화나(대마),아이큐어,175250
424,마리화나(대마),애머릿지,900100
425,마리화나(대마),메디콕스,54180
426,마리화나(대마),비엘팜텍,65170
429,방위산업/전쟁 및 테러,아이쓰리시스템,214430
430,방위산업/전쟁 및 테러,코츠테크놀로지,448710
432,방위산업/전쟁 및 테러,대성하이텍,129920
437,방위산업/전쟁 및 테러,우리기술,32820
438,방위산업/전쟁 및 테러,SNT다이내믹스,3570
440,방위산업/전쟁 및 테러,풍산홀딩스,5810
442,방위산업/전쟁 및 테러,코콤,15710
444,방위산업/전쟁 및 테러,평화산업,90080
445,방위산업/전쟁 및 테러,혜인,3010
448,방위산업/전쟁 및 테러,STX엔진,77970
449,방위산업/전쟁 및 테러,한일단조,24740
451,방위산업/전쟁 및 테러,대양전기공업,108380
452,방위산업/전쟁 및 테러,한컴라이프케어,372910
454,방위산업/전쟁 및 테러,이지트로닉스,377330
456,방위산업/전쟁 및 테러,SNT모티브,64960
459,방위산업/전쟁 및 테러,스페코,13810
460,방위산업/전쟁 및 테러,웰크론,65950
462,방위산업/전쟁 및 테러,HJ중공업,97230
463,방위산업/전쟁 및 테러,쌍용정보통신,10280
464,방위산업/전쟁 및 테러,기아,270
466,방위산업/전쟁 및 테러,웨이브일렉트로,95270
470,방위산업/전쟁 및 테러,삼영이엔씨,65570
472,방위산업/전쟁 및 테러,한화오션,42660
