,Code,Name
719,007110,일신석재
720,004910,조광페인트
721,017180,명문제약
722,013870,지엠비코리아
723,025560,미래산업
724,004920,씨아이테크
725,033250,체시스
726,075180,새론오토모티브
727,000890,보해양조
728,378850,화승알앤에이
729,008870,금비
730,002140,고려산업
731,014790,HL D&I
732,014440,영보화학
733,03473K,SK우
734,001260,남광토건
735,338100,NH프라임리츠
736,100220,비상교육
737,002920,유성기업
738,041650,상신브레이크
739,111110,호전실업
740,006880,신송홀딩스
741,002760,보락
742,069460,대호에이엘
743,000105,유한양행우
744,018500,동원금속
745,008110,대동전자
746,001550,조비
747,002360,SH에너지화학
748,129260,인터지스
749,013700,까뮤이앤씨
750,021050,서원
751,006660,삼성공조
752,008250,이건산업
753,000850,화천기공
754,090080,평화산업
755,002630,오리엔트바이오
756,155660,DSR
757,102280,쌍방울
758,025750,한솔홈데코
759,004410,서울식품
760,000590,CS홀딩스
761,027740,마니커
762,003010,혜인
763,357430,마스턴프리미어리츠
764,004450,삼화왕관
765,009180,한솔로지스틱스
766,001380,SG글로벌
767,009320,대우부품
768,000650,천일고속
769,069640,한세엠케이
770,011390,부산산업
771,001620,케이비아이동국실업
772,010640,진양폴리
773,120115,코오롱인더우
774,021820,세원정공
775,014130,한익스프레스
776,071090,하이스틸
777,015260,에이엔피
778,009810,플레이그램
779,002220,한일철강
780,092780,동양피스톤
781,008420,문배철강
782,143210,핸즈코퍼레이션
783,078935,GS우
784,28513K,SK케미칼우
785,002795,아모레G우
786,014710,사조씨푸드
787,014990,인디에프
788,000157,두산2우B
789,006980,우성
790,090370,메타랩스
791,009770,삼정펄프
792,023350,한국종합기술
793,005750,대림B&Co
794,069730,DSR제강
795,049800,우진플라임
796,357250,미래에셋맵스리츠
797,009835,한화솔루션우
798,003080,성보화학
799,003560,IHQ
800,001275,부국증권우
801,019180,티에이치엔
802,004440,삼일씨엔에스
803,020760,일진디스플
804,012160,영흥
805,006805,미래에셋증권우
806,118000,에스메디
807,000725,현대건설우
808,145210,다이나믹디자인
809,002410,범양건영
810,023960,에쓰씨엔지니어링
811,123700,SJM
812,134790,시디즈
813,009460,한창제지
814,005360,모나미
815,091090,세원이앤씨
816,025530,SJM홀딩스
817,007610,선도전기
818,005305,롯데칠성우
819,034300,신세계건설
820,004870,티웨이홀딩스
821,003535,한화투자증권우
822,019175,신풍제약우
823,072130,유엔젤
824,37550L,DL이앤씨2우(전환)
825,145270,케이탑리츠
826,023150,MH에탄올
827,003925,남양유업우
828,33637K,솔루스첨단소재1우
829,012200,계양전기
830,051630,진양화학
831,000040,KR모터스
832,012280,영화금속
833,010770,평화홀딩스
834,006570,대림통상
835,084695,대상홀딩스우
836,006125,SK디스커버리우
837,093240,형지엘리트
838,009190,대양금속
839,008600,윌비스
840,006200,한국전자홀딩스
841,011230,삼화전자
842,001070,대한방직
843,000760,이화산업
844,005820,원림
845,010400,우진아이엔에스
846,37550K,DL이앤씨우
847,000215,DL우
848,003465,유화증권우
849,024070,WISCOM
850,013000,세우글로벌
851,005320,국동
852,000950,전방
853,019490,하이트론
854,005030,부산주공
855,002070,비비안
856,084670,동양고속
857,002880,대유에이텍
858,002690,동일제강
859,006380,카프로
860,001420,태원물산
861,133820,화인베스틸
862,084870,TBH글로벌
863,004105,태양금속우
864,001140,국보
865,009310,참엔지니어링
866,002420,세기상사
867,008775,호텔신라우
868,003475,유안타증권우
869,011090,에넥스
870,030720,동원수산
871,025890,한국주강
872,007120,미래아이앤지
873,003680,한성기업
874,044380,주연테크
875,014910,성문전자
876,009140,경인전자
877,019685,대교우B
878,015020,이스타코
879,002820,SUN&L
880,005257,녹십자홀딩스2우
881,001210,금호전기
882,001465,BYC우
883,00499K,롯데지주우
884,002870,신풍
885,005110,한창
886,001685,대상우
887,33626L,두산퓨얼셀2우B
888,003495,대한항공우
889,004835,덕성우
890,004365,세방우
891,010420,한솔PNS
892,000300,대유플러스
893,088790,진도
894,001770,SHD
895,025620,제이준코스메틱
896,152550,한국ANKOR유전
897,108675,LX하우시스우
898,35320K,대덕전자1우
899,002355,넥센타이어1우B
900,007815,코리아써우
901,001795,대한제당우
902,030790,비케이탑스
903,071950,코아스
904,36328K,티와이홀딩스우
905,000225,유유제약1우
906,000087,하이트진로2우B
907,000075,삼양홀딩스우
908,000885,한화우
909,002025,코오롱우
910,004255,NPC우
911,33637L,솔루스첨단소재2우B
912,008500,일정실업
913,140910,에이리츠
914,45014K,코오롱모빌리티그룹우
915,18064K,한진칼우
916,38380K,LX홀딩스1우
917,003075,코오롱글로벌우
918,000325,노루홀딩스우
919,001067,JW중외제약2우B
920,008355,남선알미우
921,00806K,대덕1우
922,001065,JW중외제약우
923,005725,넥센우
924,45226K,한화갤러리아우
925,090355,노루페인트우
926,001515,SK증권우
927,145995,삼양사우
928,004985,성신양회우
929,26490K,크라운제과우
930,009415,태영건설우
931,007575,일양약품우
932,005745,크라운해태홀딩스우
933,006345,대원전선우
934,014825,동원시스템즈우
935,001755,한양증권우
936,00781K,코리아써키트2우B
937,014285,금강공업우
938,000145,하이트진로홀딩스우
939,004545,깨끗한나라우
940,005965,동부건설우
941,000545,흥국화재우
942,000227,유유제약2우B
943,012205,계양전기우
944,011155,CJ씨푸드1우
945,002995,금호건설우
946,004415,서울식품우
947,014915,성문전자우
948,002785,진흥기업우B
949,001525,동양우
950,001527,동양2우B
951,002787,진흥기업2우B
952,247540,에코프로비엠
953,086520,에코프로
954,091990,셀트리온헬스케어
955,022100,포스코DX
956,066970,엘앤에프
957,028300,HLB
958,196170,알테오젠
959,403870,HPSP
960,035900,JYP Ent.
961,068760,셀트리온제약
962,058470,리노공업
963,277810,레인보우로보틱스
964,263750,펄어비스
965,112040,위메이드
966,214150,클래시스
967,357780,솔브레인
968,328130,루닛
969,293490,카카오게임즈
970,041510,에스엠
971,005290,동진쎄미켐
972,145020,휴젤
973,095340,ISC
974,039030,이오테크닉스
975,035760,CJ ENM
976,393890,더블유씨피
977,240810,원익IPS
978,253450,스튜디오드래곤
979,000250,삼천당제약
